customer_id,trans_date,tran_amount
CS3552,27-Apr-14,102
CS1893,17-Nov-13,42
CS3621,26-Oct-13,56
CS4330,17-Jul-13,59
CS4991,20-Jul-13,90
CS2312,22-Oct-13,37
CS2359,04-Jun-12,90
CS4798,06-Dec-12,84
CS2507,28-Jun-12,94
CS1430,02-Sep-14,71
CS3787,23-Oct-13,48
CS4103,14-Apr-13,89
CS2881,24-Sep-12,54
CS1854,29-Sep-11,74
CS2863,23-Dec-12,102
CS5292,04-Sep-13,64
CS3184,07-Jan-12,88
CS2049,07-Oct-13,66
CS2832,16-Jul-13,105
CS2251,12-Apr-13,99
CS5667,25-Feb-14,66
CS1327,19-Feb-12,38
CS4927,12-Aug-13,37
CS2302,09-Sep-12,100
CS3901,11-Sep-12,82
CS5762,21-Apr-13,85
CS2289,13-Mar-12,89
CS2867,09-Feb-12,56
CS2359,10-Aug-14,87
CS5814,12-Dec-11,72
CS5129,21-Jun-11,102
CS2597,03-Jun-12,42
CS5838,01-Sep-12,96
CS5800,23-Apr-12,86
CS3786,16-Jul-13,66
CS3659,19-May-12,77
CS4400,03-Sep-11,97
CS3026,03-Jun-12,55
CS3632,10-Feb-13,72
CS1452,23-Mar-12,79
CS5140,11-Jul-14,97
CS5383,29-Dec-13,73
CS4695,17-Sep-13,48
CS2368,10-Aug-12,66
CS2066,15-Jul-11,51
CS5277,12-Jul-11,90
CS3025,30-Dec-11,72
CS4802,25-Jun-11,45
CS6001,16-Feb-14,63
CS3981,20-Sep-14,74
CS3885,29-Apr-14,56
CS5546,28-Aug-12,79
CS4964,20-May-14,79
CS4881,21-Jan-14,55
CS4103,02-Mar-14,40
CS5884,19-Dec-12,97
CS2765,18-Apr-13,88
CS4438,05-Jul-14,72
CS2234,21-Dec-14,36
CS3015,30-Jan-14,58
CS3755,01-Jan-15,45
CS3927,25-Mar-14,77
CS5799,08-Nov-12,101
CS5708,03-Jun-11,89
CS3695,20-Apr-13,51
CS1969,23-Oct-14,39
CS3854,09-Nov-14,104
CS3416,23-Feb-15,57
CS1414,01-Dec-13,104
CS4732,27-Mar-13,96
CS2493,29-Dec-12,85
CS5851,19-Jan-13,98
CS1678,09-May-14,48
CS2049,19-Mar-13,36
CS3676,27-Sep-11,43
CS4853,27-Mar-12,68
CS4292,04-Mar-14,98
CS3152,15-Dec-14,40
CS5640,13-Jan-14,77
CS5857,26-Sep-12,85
CS1472,12-Apr-14,72
CS3888,22-Feb-12,70
CS5563,23-Jun-13,70
CS5104,17-Sep-12,99
CS6109,01-Nov-13,92
CS2352,06-Oct-14,62
CS4024,01-Feb-14,39
CS1499,24-Dec-11,91
CS3071,15-Sep-12,39
CS5638,16-Dec-14,58
CS5533,16-May-13,73
CS1961,29-Mar-12,75
CS1707,15-Sep-11,105
CS3692,17-Sep-14,48
CS1275,28-Dec-11,102
CS4738,20-Mar-13,37
CS3732,12-Jun-11,83
CS5676,16-Dec-13,44
CS4111,26-Jul-12,54
CS2074,05-Jan-15,79
CS5815,03-Jan-15,92
CS5094,07-Mar-15,84
CS5431,05-Jan-13,55
CS4540,13-Aug-14,55
CS1891,25-Mar-13,84
CS4389,22-Mar-13,70
CS4412,07-Jan-12,47
CS1697,13-Jul-14,98
CS2720,11-Apr-12,72
CS1152,04-Aug-12,71
CS3796,14-Sep-13,37
CS6066,23-Aug-13,66
CS2643,20-Jul-14,69
CS6056,22-Mar-14,104
CS3489,09-Jan-13,76
CS5229,23-Nov-11,58
CS4649,16-Dec-14,93
CS4372,27-Aug-14,71
CS1790,04-Oct-12,100
CS1475,20-Aug-12,73
CS2452,05-Apr-14,77
CS2781,02-Jun-11,51
CS5260,25-Sep-14,89
CS5155,25-Dec-11,100
CS1582,24-May-14,46
CS4757,19-Aug-11,81
CS6039,05-Oct-13,104
CS1580,18-Nov-12,87
CS3815,05-Jul-11,54
CS6063,13-Apr-13,104
CS2226,29-Oct-14,104
CS5367,08-Jan-15,77
CS4581,04-Jun-13,95
CS5004,21-Dec-14,59
CS2164,06-Aug-13,35
CS4590,31-May-14,79
CS4600,03-Oct-11,50
CS2122,20-Feb-12,90
CS3060,24-Aug-12,59
CS2217,19-Apr-13,85
CS4288,21-Apr-14,68
CS1568,10-May-13,104
CS3442,16-Sep-14,39
CS4883,24-Dec-13,39
CS4911,17-Feb-12,75
CS1533,25-Jul-12,86
CS3103,07-May-14,59
CS2185,29-Jan-12,46
CS4094,24-Jul-13,100
CS4354,29-Dec-12,62
CS1939,25-Jul-12,46
CS5516,04-Dec-12,75
CS5664,02-Nov-13,95
CS5068,07-Nov-14,41
CS4376,13-Oct-14,49
CS5825,22-Oct-11,61
CS1871,16-Jan-12,64
CS5046,06-Feb-15,86
CS1259,30-Jun-13,64
CS5664,11-Sep-11,58
CS2986,20-Jul-11,67
CS5510,02-Sep-13,99
CS2845,10-Jan-13,73
CS4077,22-Jul-12,90
CS3466,04-Nov-13,71
CS1508,25-Oct-13,101
CS2469,19-Jul-14,93
CS2767,03-Jan-15,105
CS5790,17-Mar-12,58
CS1710,10-Jun-13,100
CS2554,05-Oct-11,100
CS5283,05-Feb-15,63
CS4050,30-Aug-14,63
CS5975,08-Sep-12,77
CS4227,16-Oct-12,74
CS5983,20-May-11,47
CS2490,04-Dec-13,70
CS1696,25-Dec-12,51
CS3209,25-Feb-14,82
CS2942,08-Jan-13,62
CS4981,16-Oct-11,93
CS1397,26-Mar-14,77
CS1903,15-Apr-13,92
CS3754,30-Nov-13,77
CS4763,12-Dec-11,78
CS4413,17-Jan-15,38
CS2333,13-Aug-11,99
CS2798,30-May-12,100
CS5033,13-Dec-11,96
CS1420,09-Sep-14,99
CS5132,14-Sep-11,74
CS3058,03-Sep-12,74
CS3692,22-Sep-13,42
CS2463,29-Sep-12,55
CS5209,11-Nov-11,35
CS4581,16-Nov-13,53
CS3424,02-Dec-13,85
CS3207,27-Jun-13,86
CS5763,23-Jan-13,56
CS5772,18-Jan-12,97
CS3673,29-Apr-13,85
CS2887,02-Mar-12,100
CS1596,28-Aug-11,66
CS4299,17-Jun-12,37
CS1492,06-Feb-14,82
CS2313,10-Apr-14,40
CS5385,25-Apr-14,83
CS3441,03-Nov-13,43
CS4701,26-Jul-14,53
CS1746,21-Jun-13,103
CS3276,27-Jul-13,65
CS2555,20-May-12,50
CS2569,29-Apr-14,37
CS3426,01-May-14,67
CS3052,17-Nov-13,67
CS1993,08-Aug-13,68
CS4908,27-Sep-14,78
CS3021,10-Feb-14,43
CS4424,16-May-13,82
CS4841,23-May-13,74
CS3486,19-Nov-12,75
CS2218,11-Oct-11,78
CS4779,29-Apr-12,53
CS4226,19-Apr-13,100
CS1653,30-Aug-11,53
CS2533,30-Mar-12,99
CS2905,29-Jul-12,47
CS5169,25-Jan-13,64
CS5142,25-Nov-12,64
CS4390,02-Jul-14,43
CS5668,27-Feb-14,91
CS2896,14-Jan-13,71
CS5156,02-Oct-13,58
CS4200,12-Aug-12,67
CS4391,07-Sep-14,67
CS5408,22-Jul-13,78
CS6019,25-Oct-13,84
CS3981,25-Jul-12,40
CS5925,20-Jun-13,66
CS3964,14-Nov-13,105
CS4688,20-May-13,101
CS1343,02-Jun-12,57
CS6024,14-Oct-12,45
CS2816,18-Dec-11,84
CS2434,20-May-12,41
CS6018,18-May-12,96
CS2072,07-Jul-12,63
CS2897,03-Dec-13,83
CS1680,14-Oct-13,81
CS1638,05-Aug-13,84
CS1165,12-Apr-12,101
CS4593,04-Jan-12,84
CS3414,13-Nov-11,46
CS2252,28-Feb-13,58
CS3598,30-Jul-13,54
CS3642,19-May-14,62
CS5948,10-Jul-14,71
CS5582,23-May-14,96
CS6107,23-Jul-11,70
CS5201,02-Jul-11,79
CS1639,05-May-13,51
CS5884,20-Nov-12,52
CS3515,07-Jul-14,81
CS2332,29-Aug-13,66
CS5628,16-Dec-14,94
CS4830,13-Apr-12,78
CS1673,04-Jan-12,92
CS4993,01-Jun-11,86
CS2603,01-Jul-13,58
CS1800,20-Nov-13,72
CS3911,09-Jun-12,83
CS5465,05-Dec-11,77
CS2373,29-Mar-12,105
CS1241,06-Mar-13,104
CS4244,15-Feb-13,48
CS5233,05-Jun-13,73
CS5405,04-Dec-13,87
CS4115,30-Nov-11,73
CS4283,23-Dec-11,76
CS4420,28-May-14,93
CS4779,08-May-13,41
CS2567,15-Jul-11,93
CS3629,30-Sep-14,68
CS2026,25-Aug-13,66
CS4338,05-Jul-13,58
CS4142,20-May-12,100
CS2837,10-Nov-12,88
CS1625,05-Nov-13,104
CS4873,20-Nov-12,83
CS3376,28-Aug-12,39
CS4311,27-Feb-12,35
CS1396,25-Sep-12,86
CS3779,29-Jan-14,92
CS1997,09-Oct-12,87
CS4540,17-May-12,72
CS5299,22-Dec-12,90
CS2253,21-Nov-12,99
CS6066,17-Mar-14,102
CS6077,22-Nov-12,44
CS3300,28-Dec-14,86
CS5922,31-Mar-12,95
CS6009,13-Mar-14,39
CS5064,19-Feb-13,97
CS2399,21-Apr-14,77
CS5547,27-Sep-12,73
CS5114,23-Sep-12,96
CS3908,10-Nov-11,83
CS4194,24-Apr-13,92
CS5342,15-Oct-12,82
CS5425,04-Aug-12,90
CS1991,29-Sep-14,94
CS2693,27-Aug-13,61
CS5076,31-Jan-15,63
CS3177,08-Jun-11,87
CS2809,02-Jun-12,60
CS3864,06-Dec-13,56
CS2515,11-Dec-11,51
CS4487,25-Aug-11,100
CS3108,20-Aug-11,87
CS1133,28-Jul-14,91
CS5919,04-Mar-12,97
CS6067,04-Sep-12,44
CS4893,24-Oct-13,66
CS5750,25-Mar-14,48
CS1445,13-Nov-11,88
CS1710,26-Oct-11,52
CS1927,23-Dec-13,97
CS5719,10-Jul-11,40
CS2591,29-Jan-14,69
CS2416,13-Feb-13,59
CS1347,10-Feb-13,74
CS3073,13-Feb-15,95
CS3590,23-Oct-13,104
CS4099,29-May-14,67
CS4109,21-Aug-12,40
CS6072,20-Dec-11,82
CS3266,17-Nov-12,51
CS1433,22-Dec-14,72
CS5499,23-Jun-11,59
CS1533,20-Jul-12,85
CS5405,21-Apr-12,91
CS4971,28-May-13,83
CS5461,06-Feb-12,47
CS6088,27-Jan-13,82
CS1984,04-Sep-12,53
CS1184,05-Jan-13,102
CS4346,09-Dec-12,65
CS5245,29-Oct-14,104
CS5402,03-Nov-11,84
CS2765,29-Aug-11,61
CS5785,20-Jun-13,63
CS5767,29-May-13,82
CS2753,17-Jun-12,63
CS2252,04-Sep-12,68
CS5488,28-Jun-12,53
CS5354,23-Sep-14,83
CS1470,11-Feb-12,95
CS1155,16-Oct-11,75
CS5565,04-Jun-14,36
CS6073,07-Feb-15,104
CS2817,11-Jun-14,43
CS3210,29-Oct-11,57
CS4688,16-Oct-12,59
CS4663,24-Feb-13,95
CS4539,28-Jul-12,35
CS2580,09-Jul-12,42
CS3983,15-Oct-12,103
CS2771,02-Jul-12,67
CS3635,03-Feb-15,38
CS1415,21-Jan-12,73
CS2294,04-Mar-15,94
CS1405,18-Sep-13,43
CS1582,16-Jan-14,85
CS2886,09-Nov-13,38
CS2770,07-Nov-14,80
CS1140,28-Dec-14,61
CS2333,25-Jan-14,93
CS4752,20-Apr-13,95
CS5687,26-Jul-11,89
CS4895,11-Jan-14,80
CS2786,28-Nov-11,66
CS1927,24-May-12,63
CS4327,26-Sep-14,36
CS1624,30-Mar-13,68
CS5490,19-Aug-14,36
CS4395,26-Feb-12,66
CS3174,25-Jan-13,61
CS2011,06-Jun-13,85
CS5553,07-Jan-15,98
CS3775,23-Feb-12,92
CS2885,08-Nov-12,55
CS1206,11-Aug-14,90
CS4480,23-May-12,60
CS1488,12-Feb-15,65
CS1456,08-Feb-13,95
CS4681,03-Feb-14,96
CS3170,16-Oct-12,85
CS1906,18-May-14,60
CS5774,28-Feb-15,78
CS6063,29-Sep-11,77
CS2223,17-Jan-14,41
CS1848,27-Sep-11,48
CS2366,08-Apr-14,39
CS5335,13-Jan-14,45
CS2899,12-Oct-12,55
CS4219,06-Dec-13,59
CS5690,19-Jan-15,82
CS3410,06-Sep-14,97
CS1337,24-Jul-14,103
CS4954,02-Nov-12,82
CS4400,23-Aug-11,67
CS3652,07-Feb-15,64
CS5677,28-Feb-13,93
CS4992,21-Oct-12,83
CS3569,17-Aug-14,61
CS2442,30-Apr-14,59
CS4160,15-May-12,66
CS5996,18-Nov-11,69
CS2345,14-Jun-11,60
CS2246,10-Aug-11,44
CS2928,16-Jul-13,67
CS1740,28-Sep-14,102
CS2298,12-Sep-11,105
CS5283,01-Dec-12,63
CS6084,15-Aug-13,64
CS3237,22-Jan-13,40
CS4913,22-Jul-14,53
CS2104,25-Oct-14,81
CS4645,02-Dec-13,104
CS1128,23-Apr-14,105
CS4639,27-Jul-12,39
CS4310,13-Sep-11,83
CS3182,18-Jan-13,48
CS3347,23-Jul-12,38
CS4231,23-Feb-15,89
CS4171,31-Oct-14,53
CS3137,03-Aug-13,92
CS1249,23-May-12,55
CS3455,03-Oct-11,98
CS1235,30-May-12,56
CS4454,27-Aug-13,57
CS3180,09-Mar-14,65
CS2930,16-Jan-14,94
CS3838,23-Mar-12,82
CS1883,12-Oct-14,57
CS5148,19-Nov-12,72
CS4952,21-Nov-11,54
CS5724,04-Nov-11,85
CS1447,19-Mar-12,104
CS1693,28-Jan-12,59
CS4341,17-Mar-14,87
CS3598,08-Aug-12,72
CS5659,02-Aug-12,100
CS5367,01-Dec-14,41
CS1501,27-Feb-13,65
CS2134,15-Jul-14,77
CS3407,17-Sep-14,62
CS3343,03-Apr-14,56
CS3506,12-Mar-13,103
CS2244,05-May-13,86
CS1243,04-Dec-12,70
CS3061,02-Dec-13,89
CS4884,10-Feb-15,78
CS1590,09-Apr-14,39
CS3176,28-Jul-14,50
CS5638,12-Nov-14,68
CS2122,21-Oct-12,83
CS2177,30-Jan-15,93
CS3074,27-May-11,61
CS3433,20-Dec-12,99
CS3418,02-Mar-13,87
CS5821,23-Jun-12,70
CS2231,08-Jan-15,74
CS5356,01-Apr-14,91
CS5803,28-Nov-14,96
CS5611,29-Dec-14,65
CS5012,31-Dec-11,85
CS4967,07-Apr-13,98
CS2522,06-Oct-14,85
CS2328,20-Feb-15,43
CS3530,13-May-13,88
CS5034,01-Jun-14,39
CS5784,21-Nov-11,75
CS3581,17-Aug-11,93
CS3011,14-Dec-14,83
CS4152,12-Feb-13,41
CS5757,08-Feb-14,56
CS5557,23-Jan-12,82
CS3988,17-Apr-12,51
CS3396,25-Dec-11,87
CS4393,10-Feb-15,54
CS4629,21-Dec-12,35
CS3821,03-Jul-13,73
CS3460,19-Sep-11,77
CS4948,18-Feb-13,84
CS3786,17-Oct-11,71
CS5468,08-Jun-12,50
CS1545,16-Sep-14,55
CS4960,16-Feb-14,77
CS3555,05-Aug-13,103
CS4587,31-Oct-12,104
CS1228,27-Sep-11,57
CS5126,22-Dec-12,49
CS1453,23-Mar-14,45
CS5938,20-Nov-12,61
CS3135,31-Jul-12,49
CS4444,29-Mar-13,102
CS5348,06-Dec-14,64
CS1416,27-Nov-12,100
CS5400,07-May-14,75
CS2313,23-Dec-12,59
CS5187,28-Jan-12,42
CS3426,02-Apr-13,87
CS2309,31-May-11,60
CS4564,29-Mar-13,94
CS3291,30-Dec-12,93
CS2607,19-Feb-13,50
CS1882,23-Sep-14,104
CS2248,17-Aug-11,100
CS4082,15-Feb-15,49
CS3181,27-Apr-14,62
CS2462,25-Feb-12,88
CS2336,22-Sep-13,86
CS3235,02-Jul-12,43
CS2748,11-Jan-12,55
CS3668,25-Aug-12,86
CS1296,14-Jan-14,61
CS5356,12-Oct-12,57
CS4079,21-Aug-12,68
CS4864,06-Jan-14,73
CS2860,24-May-13,74
CS4851,23-Apr-13,94
CS5761,28-Jan-15,102
CS6082,02-Mar-12,48
CS3702,22-May-11,45
CS1512,01-Apr-13,54
CS4569,03-Jul-14,76
CS2419,06-Jul-14,95
CS3942,21-May-13,64
CS4604,07-Apr-12,38
CS6056,21-Feb-13,98
CS2592,08-Sep-13,73
CS5152,30-Mar-14,53
CS4282,13-Jun-11,46
CS4509,21-Aug-12,93
CS2252,23-Sep-14,95
CS3367,27-Aug-13,98
CS4980,25-Jan-12,64
CS3128,03-Sep-11,91
CS3331,30-Jun-13,99
CS4166,31-Dec-12,104
CS5063,20-Jun-12,56
CS5971,15-Jan-14,94
CS5060,02-Oct-13,38
CS5810,30-Apr-13,48
CS2860,01-Aug-11,78
CS4490,12-Sep-14,37
CS5976,22-Jul-12,47
CS4775,30-Jul-12,86
CS4174,20-Nov-12,51
CS5211,13-Jan-15,85
CS3450,26-Oct-12,80
CS3945,17-Nov-12,80
CS2524,12-Apr-12,55
CS3379,07-Oct-14,101
CS4349,05-Feb-12,87
CS2776,01-Nov-12,70
CS1839,13-Nov-13,77
CS1322,25-Nov-13,84
CS3593,25-May-12,81
CS1981,21-May-11,71
CS4054,16-Aug-11,99
CS4533,21-Jan-15,53
CS2896,29-Dec-11,80
CS5616,12-Oct-13,37
CS3791,03-Jul-14,49
CS1951,29-May-11,73
CS2473,16-Jun-13,81
CS5894,17-Aug-13,68
CS1633,19-Dec-12,62
CS1977,01-Jul-13,38
CS6011,21-Feb-14,55
CS6044,17-Oct-13,36
CS4951,30-Oct-13,90
CS2798,02-Aug-11,69
CS2197,21-Sep-12,70
CS3011,03-Feb-14,65
CS1654,16-Dec-14,85
CS2424,05-Dec-13,101
CS3530,20-Apr-14,40
CS1803,18-Jul-13,80
CS4627,22-Jun-14,50
CS5154,05-Aug-12,78
CS3368,04-Dec-12,38
CS2435,19-Dec-13,86
CS4353,07-Feb-15,75
CS5305,14-Mar-12,86
CS3539,01-Jun-13,64
CS2087,29-Nov-12,52
CS5569,07-Aug-11,56
CS5038,15-Nov-14,75
CS4895,21-Jan-13,43
CS2873,26-Dec-11,87
CS5184,09-Feb-13,51
CS1930,19-Apr-13,76
CS4267,20-May-12,38
CS5109,01-Aug-14,91
CS5778,25-Nov-12,65
CS3400,02-Mar-12,97
CS2578,11-Sep-13,47
CS3374,25-Oct-11,49
CS1492,11-Sep-11,101
CS4121,21-Jan-13,50
CS5623,01-Mar-15,100
CS5118,26-Feb-12,65
CS3838,21-Aug-14,42
CS3713,01-Oct-13,50
CS3104,12-Jun-11,51
CS4964,30-Apr-12,86
CS5534,20-Jul-14,40
CS4723,01-Jan-14,88
CS3353,04-Dec-14,94
CS3789,13-Feb-14,102
CS4141,04-Feb-14,88
CS1626,23-Dec-12,38
CS2653,07-Apr-12,81
CS5227,13-Jan-14,49
CS4299,12-Jun-13,36
CS4675,02-Nov-11,85
CS1474,29-May-12,37
CS4892,23-May-12,60
CS3864,03-Aug-14,78
CS4259,05-Feb-12,55
CS4674,19-Dec-14,75
CS4904,15-Jun-14,60
CS1663,15-Mar-12,53
CS4527,12-Dec-12,99
CS3886,10-Apr-12,85
CS6090,26-Sep-12,93
CS5633,21-Jul-11,54
CS1971,09-Mar-13,39
CS2411,26-Sep-13,71
CS2168,29-Jan-15,65
CS5716,19-Mar-12,100
CS3069,15-Dec-11,62
CS4123,16-Oct-12,60
CS4310,29-Sep-14,61
CS1522,21-Apr-13,90
CS6085,24-Sep-13,65
CS1425,04-Jan-15,83
CS1398,02-Aug-14,56
CS3410,19-Jul-11,69
CS5930,15-Apr-14,35
CS3658,28-May-12,37
CS1743,12-Apr-14,73
CS5345,07-Oct-14,84
CS4853,12-Feb-14,45
CS4654,30-Apr-14,83
CS4355,30-Sep-14,77
CS1609,02-Feb-12,45
CS3857,08-Nov-13,53
CS4790,24-Dec-13,103
CS3261,31-Jul-12,72
CS5896,28-Sep-12,78
CS4499,19-Oct-12,46
CS2305,10-Jun-11,71
CS4363,09-Oct-14,102
CS5777,29-Jul-11,97
CS4557,29-Sep-12,93
CS5019,06-Nov-12,67
CS4285,27-Jan-15,38
CS5264,13-Feb-13,79
CS3960,26-May-12,48
CS2263,05-Jan-13,96
CS2721,21-Sep-13,88
CS3317,15-Feb-14,41
CS4849,03-Oct-11,73
CS2745,21-Jun-12,84
CS3373,03-Nov-12,88
CS2287,21-Mar-13,59
CS5050,03-Mar-15,38
CS3925,02-Nov-11,35
CS2528,16-Apr-13,102
CS2006,12-Jul-11,100
CS1257,11-Mar-13,89
CS5855,26-Feb-15,63
CS3411,28-Feb-15,48
CS5566,20-Nov-11,79
CS5050,02-Nov-13,97
CS3076,23-May-14,69
CS2898,14-Jul-12,62
CS4839,29-Dec-11,57
CS5208,14-Feb-15,49
CS2148,20-Aug-13,97
CS1306,21-Jan-12,72
CS4343,31-Jan-12,59
CS2699,23-Nov-13,64
CS6005,16-Feb-13,52
CS2540,28-Aug-14,87
CS2934,11-Apr-13,77
CS1791,04-Jun-14,78
CS5217,15-Jun-12,42
CS2329,11-Feb-14,67
CS4724,29-Oct-12,97
CS1909,26-Aug-12,39
CS3421,08-Jun-12,41
CS6025,20-Feb-14,77
CS4665,27-Dec-13,68
CS3708,19-Nov-13,77
CS3359,13-Mar-13,39
CS5382,29-Oct-11,46
CS4703,25-May-11,53
CS1433,20-Dec-14,99
CS3001,19-Jun-11,100
CS4924,03-Aug-14,56
CS4136,07-Jan-14,79
CS4224,12-May-13,80
CS1332,12-Jul-12,59
CS2962,25-Oct-14,71
CS1839,06-Feb-14,52
CS6025,08-Sep-11,88
CS1903,23-Nov-12,91
CS3080,27-Mar-13,65
CS2967,19-Dec-12,97
CS4084,11-Feb-15,53
CS3758,02-Apr-14,55
CS2376,21-May-14,58
CS6101,25-Jun-11,71
CS4282,28-Sep-13,58
CS3595,17-Feb-13,81
CS5043,22-Mar-14,85
CS3785,02-May-12,95
CS5370,03-Oct-14,61
CS2269,24-Sep-14,53
CS2979,29-Sep-11,98
CS3678,05-Sep-12,78
CS2927,31-Dec-12,84
CS4491,09-Mar-14,57
CS1844,25-Nov-11,97
CS3683,14-Sep-13,38
CS5057,04-Dec-13,90
CS2384,03-Aug-13,69
CS3655,29-Apr-12,91
CS3810,21-Aug-13,71
CS5241,26-Oct-12,83
CS3890,22-Dec-11,47
CS3155,06-Nov-12,68
